frameNumber,trackerPosition,trackerRotation,centerHit,centerHitPosition,centerHitGroup,boxHit,boxHitPosition,boxHitGroup,presentObjectName,presentObjectGroup
400,"(-194.3, 102.0, -132.3)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,Square_Sign_LOD0,"(-116.8, 103.3, -127.6)",WestRide Traffic,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*
401,"(-194.3, 102.0, -132.3)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,New_NPC (47)(Clone),"(-118.3, 103.2, -124.0)",PedestriansManager,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
402,"(-194.2, 102.0, -132.3)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,New_NPC (47)(Clone),"(-118.3, 103.0, -123.9)",PedestriansManager,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
403,"(-194.2, 102.0, -132.3)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,New_NPC (47)(Clone),"(-118.3, 103.0, -123.8)",PedestriansManager,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
404,"(-194.2, 102.0, -132.3)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,New_NPC (47)(Clone),"(-118.3, 102.9, -123.7)",PedestriansManager,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
405,"(-194.1, 102.0, -132.3)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,New_NPC (47)(Clone),"(-118.3, 102.9, -123.6)",PedestriansManager,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
406,"(-194.0, 102.0, -132.2)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,New_NPC (47)(Clone),"(-118.3, 102.9, -123.5)",PedestriansManager,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
407,"(-194.0, 102.0, -132.2)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,New_NPC (47)(Clone),"(-118.3, 102.9, -123.3)",PedestriansManager,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
408,"(-193.9, 102.0, -132.2)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,New_NPC (47)(Clone),"(-118.3, 102.8, -123.3)",PedestriansManager,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
409,"(-193.8, 102.0, -132.2)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,New_NPC (47)(Clone),"(-118.3, 103.0, -123.2)",PedestriansManager,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
