frameNumber,trackerPosition,trackerRotation,centerHit,centerHitPosition,centerHitGroup,boxHit,boxHitPosition,boxHitGroup,presentObjectName,presentObjectGroup
400,"(-193.2, 102.7, -132.1)","(0.1, 0.7, -0.1, 0.7)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
401,"(-193.2, 102.7, -132.1)","(0.1, 0.7, -0.1, 0.7)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
402,"(-193.2, 102.7, -132.0)","(0.1, 0.7, -0.1, 0.7)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
403,"(-193.2, 102.7, -132.0)","(0.1, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
404,"(-193.1, 102.7, -132.0)","(0.1, 0.7, -0.1, 0.7)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
405,"(-193.1, 102.7, -132.0)","(0.1, 0.7, -0.1, 0.7)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
406,"(-193.0, 102.7, -132.0)","(0.1, 0.7, -0.1, 0.7)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
407,"(-192.9, 102.7, -132.0)","(0.1, 0.7, -0.1, 0.7)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
408,"(-192.9, 102.7, -132.0)","(0.1, 0.7, -0.1, 0.7)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
409,"(-192.8, 102.7, -132.0)","(0.1, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,TS1 Stand Medium,"(-141.6, 98.9, -135.4)",WestRide Traffic,TS1_Stand_Medium_LOD0*TS1 Stand Medium*,WestRide Traffic*WestRide Traffic*
410,"(-192.7, 102.7, -131.9)","(0.1, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,TS1 Stand Medium,"(-141.6, 99.3, -135.4)",WestRide Traffic,TS1_Stand_Medium_LOD0*TS1 Stand Medium*,WestRide Traffic*WestRide Traffic*
411,"(-192.7, 102.7, -131.9)","(0.1, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
412,"(-192.5, 102.7, -131.9)","(0.1, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
413,"(-192.4, 102.7, -131.9)","(0.1, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
414,"(-192.3, 102.7, -131.9)","(0.1, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
415,"(-192.2, 102.7, -131.8)","(0.1, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
416,"(-192.1, 102.7, -131.8)","(0.1, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
417,"(-191.9, 102.7, -131.8)","(0.1, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
418,"(-191.9, 102.7, -131.8)","(0.1, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
419,"(-191.7, 102.7, -131.8)","(0.1, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
